Internal ID,Q1: GOING OUT?,Q2: GENDER,Q3: AGE,Q4: COUNTRY,"Q5: STATE, PROVINCE, COUNTY, ETC",Q6 | FIRST FAV CANDY,Q6 | SECOND FAV CANDY,Q6 | THIRD FAV CANDY,Q7: OTHER COMMENTS,Q8: GEOTAG,BLANK COLUMN,Q9: DAY
109,No,Female,39,Canada,BC,Reese's PB Cups,Sour Patch Kids,Sour Patch Kids,,"54.0844, -124.0032",,Friday
110,No,Female,35,Canada,Alberta,Fuzzy Peaches,Pop Rocks,Pop Rocks,,"54.5321, -115.0511",,Friday
111,No,Other,17,Canada,"British Columbia, Canada",Coffee Crisp,Candy Corn,Coffee Crisp,,"54.0844, -124.0009",,Friday
112,No,I'd rather not say,32,Canada,,Sour Patch Kids,Reese's PB Cups,Fuzzy Peaches,,"63.0005, -136.0027",,
113,No,Male,32,Canada,Ontario,Candy Corn,Coffee Crisp,Pop Rocks,,"49.2619, -84.7283",,
114,No,Male,42,Canada,Ontario,Coffee Crisp,Sour Patch Kids,Sour Patch Kids,,"49.2619, -84.7284",,
115,No,Female,53,Canada,NOYB,Fuzzy Peaches,Candy Corn,Peppermint Patties,,"45.2166, -62.7008",,Friday
116,Yes,Male,33,Canada,Ontario,Fuzzy Peaches,Fuzzy Peaches,Sour Patch Kids,,"49.2619, -84.7285",,Friday
117,No,Male,48,Canada,British Columbia,Peppermint Patties,Candy Corn,Reese's PB Cups,,"54.0844, -124.0001",,Sunday
118,No,Male,35,Canada,Alberta,Fuzzy Peaches,Sour Patch Kids,Peppermint Patties,,"54.5321, -115.0512",,Friday
119,No,Male,59,canada,ontario,Peppermint Patties,Reese's PB Cups,Reese's PB Cups,,"49.2619, -84.7286",,Sunday
120,No,Male,49,canada,bc,Pop Rocks,Chips,Fuzzy Peaches,,"54.0844, -124.0031",,Friday
121,No,Female,34,Canada,British Columbia ,Coffee Crisp,Coffee Crisp,Candy Corn,,"54.0844, -124.0007",,Friday
122,No,Male,43,canada,ontario,Candy Corn,Chips,Candy Corn,,"49.2619, -84.7287",,Sunday
123,No,Male,43,Canada,Ontario,Pop Rocks,Peppermint Patties,Peppermint Patties,,"49.2619, -84.7288",,Friday
124,No,Female,27,Canada,BC,Candy Corn,Coffee Crisp,Pop Rocks,One does not simply wish for death from diabetes,"54.0844, -124.0030",,Friday
125,No,Male,30,canada,alberta,Coffee Crisp,Peppermint Patties,Pop Rocks,,"54.5321, -115.0513",,Friday
126,No,Male,47,Canada,ontario,Chips,Sour Patch Kids,Reese's PB Cups,,"49.2619, -84.7289",,Friday
127,No,Female,42,canada,ontario,Peppermint Patties,Reese's PB Cups,Fuzzy Peaches,,"49.2619, -84.7290",,Sunday
128,No,Female,36,Canada,Ontario,Reese's PB Cups,Reese's PB Cups,Coffee Crisp,,"49.2619, -84.7291",,Sunday
129,No,Female,33,Canada,BC,Candy Corn,Sour Patch Kids,Pop Rocks,,"54.0844, -124.0029",,
130,No,Female,42,Canada,Alberta,Fuzzy Peaches,Candy Corn,Sour Patch Kids,,"54.5321, -115.0514",,Sunday
131,No,Male,56,Canada,Ontario,Fuzzy Peaches,Peppermint Patties,Pop Rocks,,"49.2619, -84.7292",,
132,No,Male,24,Canada,Alberta,Candy Corn,Sour Patch Kids,Sour Patch Kids,,"54.5321, -115.0515",,Friday
133,No,I'd rather not say,39,Canada,Ontario,Coffee Crisp,Pop Rocks,Reese's PB Cups,,"49.2619, -84.7293",,
134,No,Female,28,Canada,Ontario,Chips,Reese's PB Cups,Sour Patch Kids,,"49.2619, -84.7294",,Sunday
135,No,Male,28,Canada,Ontario,Sour Patch Kids,Pop Rocks,Chips,,"49.2619, -84.7295",,
136,No,Female,46,Canada,Nova Scotia,Reese's PB Cups,Fuzzy Peaches,Fuzzy Peaches,,"45.2166, -62.7001",,Sunday
137,No,Female,17,Canada,BC,Candy Corn,Coffee Crisp,Pop Rocks,,"54.0844, -124.0028",,
138,No,Female,60,Canada,Alberta ,Peppermint Patties,Fuzzy Peaches,Pop Rocks,Chocolate is always good. It's not a healthy holiday.,"54.5321, -115.0525",,Friday
139,Yes,Female,41,Canada,Quebec,Reese's PB Cups,Sour Patch Kids,Pop Rocks,,"46.8122, -71.2152",,
140,No,Female,60,Canada,Ontario,Sour Patch Kids,Coffee Crisp,Reese's PB Cups,,"49.2619, -84.7296",,
141,No,Male,52,Canada,Ontario,Chips,Peppermint Patties,Reese's PB Cups,"Chocolate dude! No mint in, on, through or in it!","49.2619, -84.7297",,Sunday
142,,Male,43,Canada,Ontario,Fuzzy Peaches,Fuzzy Peaches,Reese's PB Cups,"U.S. Smarties are officially called ""those powdery round candies with concave sides that you get in little cylindrical rolls at halloween"" in Canada","49.2619, -84.7298",,Sunday
143,No,Male,54,Canada,Alberta,Pop Rocks,Candy Corn,Fuzzy Peaches,,"54.5321, -115.0516",,Sunday
144,No,Female,58,Canada,Ontario,Sour Patch Kids,Coffee Crisp,Chips,,"49.2619, -84.7299",,
145,No,Male,48,canada,alberta,Coffee Crisp,Pop Rocks,Fuzzy Peaches,,"54.5321, -115.0517",,Friday
146,No,Male,34,Canada,Alberta,Fuzzy Peaches,Peppermint Patties,Chips,,"54.5321, -115.0518",,
147,No,Male,20,Canada,Ontario,Pop Rocks,Peppermint Patties,Peppermint Patties,,"49.2619, -84.7300",,Friday
148,No,Male,37,Canada,BC,Candy Corn,Pop Rocks,Candy Corn,,"54.0844, -124.0027",,Friday
149,Yes,Female,34,Canada,BC,Candy Corn,Pop Rocks,Coffee Crisp,,"54.0844, -124.0026",,
150,No,Female,47,Canada,Saskatchewan,Chips,Reese's PB Cups,Chips,I advocate the sharing of those little airplane size liquor bottles for any poor parent who has to slog through a wet cold Halloween night.,"55.5321, -106.1413",,Friday
151,No,Female,27,Canada,British Columbia,Candy Corn,Coffee Crisp,Peppermint Patties,"Generally, it goes: chocolate > sour candy > chips > sweet candy/beverages > everything else, which becomes the candy equivalent of mast on a forest floor but in a box in your bedroom until sometime in mid-May","54.0844, -124.0000",,Friday
152,No,Female,50,canada,Alberta,Pop Rocks,Pop Rocks,Coffee Crisp,,"54.5321, -115.0519",,Friday
153,No,Male,45,canada,bc,Pop Rocks,Pop Rocks,Pop Rocks,,"54.0844, -124.0025",,Sunday
154,,Male,50,Canada,BC,Reese's PB Cups,Fuzzy Peaches,Pop Rocks,,"54.0844, -124.0024",,Sunday
155,No,,49,Canada,Nova Scotia,Candy Corn,Fuzzy Peaches,Fuzzy Peaches,,"45.2166, -62.7002",,Friday
156,Yes,Female,39,Canada,British Columbia,Coffee Crisp,Fuzzy Peaches,Coffee Crisp,,"54.0844, -124.0001",,Friday
157,No,Male,48,Canada,QC,Fuzzy Peaches,Fuzzy Peaches,Pop Rocks,,"46.8122, -71.2146",,
158,No,Male,40,Canada,BC,Peppermint Patties,Pop Rocks,Fuzzy Peaches,,"54.0844, -124.0023",,
159,No,Male,49,canada,ontario,Chips,Fuzzy Peaches,Sour Patch Kids,,"49.2619, -84.7301",,Friday
160,No,Female,33,Canada,Manitoba ,Chips,Fuzzy Peaches,Candy Corn,,"49.7717, -96.8166",,
161,No,Male,44,Canada,Ontario,Coffee Crisp,Reese's PB Cups,Chips,,"49.2619, -84.7302",,Friday
162,No,Female,37,Canada,Newfoundland and Labrador,Fuzzy Peaches,Reese's PB Cups,Coffee Crisp,,"53.1355, -57.6607",,Sunday
163,No,Male,33,Canada,"Oshawa, Ontario, Canada",Sour Patch Kids,Fuzzy Peaches,Pop Rocks,,"49.2619, -84.7326",,
164,No,Male,46,Canada,Ontario,Reese's PB Cups,Candy Corn,Coffee Crisp,,"49.2619, -84.7303",,Friday
165,No,Female,37,Canada,,Chips,Pop Rocks,Reese's PB Cups,,"63.0005, -136.0028",,Friday
166,No,Male,64,Canada,NL,Reese's PB Cups,Fuzzy Peaches,Fuzzy Peaches,,"53.1355, -57.6608",,Sunday
167,No,Male,37,canada,ontario,Pop Rocks,Peppermint Patties,Pop Rocks,,"49.2619, -84.7304",,Friday
168,No,Male,25,canada,ontario,Fuzzy Peaches,Chips,Sour Patch Kids,,"49.2619, -84.7305",,
169,No,Male,59,Canada,Alberta,Chips,Reese's PB Cups,Candy Corn,,"54.5321, -115.0520",,Friday
170,No,Male,45,Canada,Nova Scotia,Chips,Peppermint Patties,Pop Rocks,,"45.2166, -62.7003",,
171,No,Male,43,CANADA,ONTARIO,Chips,Sour Patch Kids,Pop Rocks,,"49.2619, -84.7306",,Friday
172,No,I'd rather not say,31,Canada,Québec,Candy Corn,Coffee Crisp,Pop Rocks,,"46.8122, -71.2153",,Sunday
173,No,Female,49,Canada,Ontario,Coffee Crisp,Reese's PB Cups,Coffee Crisp,,"49.2619, -84.7307",,
174,No,Female,33,Canada,"Toronto, Ontario",Chips,Chips,Sour Patch Kids,,"49.2619, -84.7327",,Sunday
175,No,Female,35,Canada,British Columbia,Chips,Fuzzy Peaches,Candy Corn,,"54.0844, -124.0002",,Sunday
176,No,Female,40,Canada,Ontario,Pop Rocks,Pop Rocks,Peppermint Patties,,"49.2619, -84.7308",,
177,No,Female,20,Canada,BC,Peppermint Patties,Fuzzy Peaches,Fuzzy Peaches,,"54.0844, -124.0022",,
178,No,Male,52,Canada,Ontario,Reese's PB Cups,Candy Corn,Reese's PB Cups,,"49.2619, -84.7309",,Sunday
179,,Male,29,Canada,Ontario,Reese's PB Cups,Fuzzy Peaches,Peppermint Patties,There is no tootsie in roll or dvd form. Why?,"49.2619, -84.7310",,Friday
180,,Male,42,Canada,Alberta,Peppermint Patties,Candy Corn,Reese's PB Cups,,"54.5321, -115.0521",,
181,,Male,34,Canada,BC,Pop Rocks,Candy Corn,Pop Rocks,,"54.0844, -124.0021",,
182,Yes,Male,40,Canada,Ontario,Pop Rocks,Peppermint Patties,Peppermint Patties,"You have ""Mars""... Is that the planet or the bar or both? Either way - JOY! Maybe next year ""Mars (the Bar)"" and Mars (the planet)"" should be categories? Followed by Pluto... But don't say whether it's a planet or not because Neil deGrasse Tyson.  ","49.2619, -84.7311",,Friday
183,No,Male,36,canada,ontario,Pop Rocks,Fuzzy Peaches,Pop Rocks,,"49.2619, -84.7312",,Friday
184,No,Female,45,Canada,ontario,Chips,Sour Patch Kids,Peppermint Patties,,"49.2619, -84.7313",,Sunday
185,No,Male,29,Canada,Ontario,Coffee Crisp,Pop Rocks,Reese's PB Cups,,"49.2619, -84.7314",,
186,Yes,Female,50,Canada,Nova Scotia,Sour Patch Kids,Sour Patch Kids,Sour Patch Kids,,"45.2166, -62.7004",,
187,No,Male,37,canada,bc,Sour Patch Kids,Pop Rocks,Coffee Crisp,,"54.0844, -124.0020",,Friday
188,,Female,27,Canada,NB,Pop Rocks,Reese's PB Cups,Peppermint Patties,,"46.4983, -66.1597",,
189,No,Female,41,Canada,ON,Candy Corn,Candy Corn,Reese's PB Cups,,"49.2619, -84.7243",,Friday
190,Yes,Female,24,Canada,Nova Scotia,Candy Corn,Chips,Reese's PB Cups,,"45.2166, -62.7005",,
191,No,Male,44,Canada,Ontario,Fuzzy Peaches,Coffee Crisp,Peppermint Patties,,"49.2619, -84.7315",,Sunday
192,No,Male,35,Canada,Ont,Sour Patch Kids,Fuzzy Peaches,Reese's PB Cups,,"49.2619, -84.7245",,
193,No,Male,31,Canada,Ontario,Candy Corn,Pop Rocks,Pop Rocks,,"49.2619, -84.7316",,Friday
194,No,Male,59 on the day after Halloween,Canada,Ontario,Chips,Pop Rocks,Fuzzy Peaches,"No Nestles, either. Chocosol is THE best, kinda handmade in Toronto. My super picky friend Bie won't eat or share with others anything else.","49.2619, -84.7317",,Sunday
195,No,Male,45,Canada,BC,Peppermint Patties,Chips,Pop Rocks,,"54.0844, -124.0019",,
196,No,Female,37,Canada,Ontario,Peppermint Patties,Coffee Crisp,Chips,,"49.2619, -84.7318",,Friday
197,No,Male,24,Canada,Nova Scotia,Coffee Crisp,Candy Corn,Candy Corn,,"45.2166, -62.7006",,
198,Yes,Female,24,Canada,BC,Fuzzy Peaches,Reese's PB Cups,Peppermint Patties,"I had to Ecosia search (""Google"") so many of these candies. They are not at my local Dollarama. They aren't even at my non-local Dollarama. You can get full sized bars for $0.77 sometimes (Why did they take away the symbol for 'cent'? Ugh.) Also, can I still make surveys like these even after graduating from UBC? Do I need to go back for grad school in order to pet the surveymonkey? Please ","54.0844, -124.0018",,Friday
199,Yes,Female,26,Canada,Quenec,Chips,Peppermint Patties,Candy Corn,,"46.8122, -71.2155",,
200,No,Female,47,Canada,Ontario,Fuzzy Peaches,Coffee Crisp,Candy Corn,,"49.2619, -84.7319",,
201,Yes,Female,42,Canada,BC,Coffee Crisp,Fuzzy Peaches,Fuzzy Peaches,,"54.0844, -124.0017",,Friday
202,No,Female,24,Canada,British Columbia,Candy Corn,Peppermint Patties,Reese's PB Cups,,"54.0844, -124.0003",,Sunday
203,No,Male,39,Canada,Alberta,Reese's PB Cups,Peppermint Patties,Peppermint Patties,,"54.5321, -115.0522",,Friday
204,No,Female,39,Canada,BC,Sour Patch Kids,Peppermint Patties,Coffee Crisp,Seriously wondering what neighbourhood hands out vicodin,"54.0844, -124.0016",,Friday
205,No,Male,41,Canada,British Columbia,Reese's PB Cups,Peppermint Patties,Candy Corn,,"54.0844, -124.0004",,
206,No,Female,63,Canada,Bc,Candy Corn,Coffee Crisp,Fuzzy Peaches,,"54.0844, -124.0015",,Sunday
207,No,Female,38,Canada,BC,Reese's PB Cups,Coffee Crisp,Sour Patch Kids,,"54.0844, -124.0014",,
208,No,Female,31,canada,québec,Coffee Crisp,Coffee Crisp,Coffee Crisp,,"46.8122, -71.2154",,
209,No,Male,45,Canada,Ontario,Coffee Crisp,Sour Patch Kids,Peppermint Patties,,"49.2619, -84.7320",,
210,No,Female,18,Canada,British Columbia,Coffee Crisp,Sour Patch Kids,Candy Corn,,"54.0844, -124.0005",,Friday
211,No,Female,18,Canada,BC,Pop Rocks,Sour Patch Kids,Fuzzy Peaches,,"54.0844, -124.0013",,Friday
212,No,Male,46,Canada,Alberta,Fuzzy Peaches,Sour Patch Kids,Coffee Crisp,,"54.5321, -115.0523",,Friday
213,No,Female,34,Canada,British Columbia ,Reese's PB Cups,Candy Corn,Peppermint Patties,,"54.0844, -124.0008",,Friday
214,No,Female,34,Canada,Nova Scotia,Peppermint Patties,Coffee Crisp,Reese's PB Cups,,"45.2166, -62.7007",,
215,No,Female,43,Canada,BC,Chips,Candy Corn,Pop Rocks,thanks for the survey! ,"54.0844, -124.0012",,Friday
216,No,Female,40,canada,bc,Peppermint Patties,Pop Rocks,Fuzzy Peaches,,"54.0844, -124.0011",,Sunday
217,,Male,30,canada ,ontario,Reese's PB Cups,Chips,Sour Patch Kids,,"49.2619, -84.7321",,Sunday
218,No,Male,43,Canada ,Alberta ,Coffee Crisp,Peppermint Patties,Candy Corn,,"54.5321, -115.0526",,Friday
219,No,Female,39,Canada ,Manitoba ,Candy Corn,Peppermint Patties,Candy Corn,,"49.7717, -96.8167",,
220,Yes,Male,53,Canada ,Bc,Pop Rocks,Peppermint Patties,Candy Corn,,"54.0844, -124.0010",,
221,No,Female,45,Canada ,Bc,Chips,Peppermint Patties,Sour Patch Kids,,"54.0844, -124.0009",,Friday
222,,Male,47,Canada ,Ontario ,Sour Patch Kids,Coffee Crisp,Fuzzy Peaches,,"49.2619, -84.7324",,Friday
223,No,Male,38,Canada ,Manitoba ,Peppermint Patties,Pop Rocks,Peppermint Patties,,"49.7717, -96.8168",,Friday
224,No,Female,40,Canada ,BC,Reese's PB Cups,Fuzzy Peaches,Reese's PB Cups,,"54.0844, -124.0008",,Sunday
225,Yes,Female,40,Canada ,BC,Candy Corn,Coffee Crisp,Pop Rocks,,"54.0844, -124.0007",,
226,,Male,50,Canada`,BC,Sour Patch Kids,Pop Rocks,Candy Corn,,"54.0844, -124.0006",,Sunday
227,Yes,Male,53,Canae,Bc,Chips,Reese's PB Cups,Pop Rocks,,"54.0844, -124.0005",,Sunday
